Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Southern Great Barrier Reef,Australia,782.39,Sheltered,51.57,28,11,2015,5,Nutrient Indicator Algae,0,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,95.43,Sheltered,51.57,28,11,2015,2,Hard Coral,8.75,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,95.43,Sheltered,51.57,28,11,2015,2,Nutrient Indicator Algae,21.88,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,106.65,Sheltered,51.57,29,11,2015,2,Hard Coral,7.5,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,106.65,Sheltered,51.57,29,11,2015,2,Nutrient Indicator Algae,10,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,94.8,Sheltered,51.46,25,11,2015,2,Hard Coral,29.38,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,94.8,Sheltered,51.46,25,11,2015,2,Nutrient Indicator Algae,0,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1739.41,Exposed,51.57,25,11,2015,6,Hard Coral,52.5,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1739.41,Exposed,51.57,25,11,2015,6,Nutrient Indicator Algae,0,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,28,11,2015,6,Hard Coral,43.12,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,28,11,2015,6,Nutrient Indicator Algae,0,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,25,11,2015,6,Hard Coral,56.88,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,25,11,2015,6,Nutrient Indicator Algae,0,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-25,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,20,9,2016,6,Hard Coral,60,Population,1,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-20,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,847.35,Exposed,51.57,20,9,2016,6,Nutrient Indicator Algae,5,Population,1,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-20,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,19.02,Sheltered,45.33,6,8,2017,2,Hard Coral,43.12,Population,1,296.48,1.76,0.93,0,3.84,3.56,-5.34,2.7,2017-08-06,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,19.02,Sheltered,45.33,6,8,2017,2,Nutrient Indicator Algae,0,Population,1,296.48,1.76,0.93,0,3.84,3.56,-5.34,2.7,2017-08-06,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,2795.93,Sheltered,43.52,18,3,2017,3,Hard Coral,40.62,Population,1,298.7,1.94,1.02,0,17.39,3.91,0.97,2.94,2017-03-18,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,2795.93,Sheltered,43.52,18,3,2017,3,Nutrient Indicator Algae,46.88,Population,1,298.7,1.94,1.02,0,17.39,3.91,0.97,2.94,2017-03-18,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,2865.08,Sheltered,43.52,18,3,2017,5,Hard Coral,38.12,Population,1,298.7,1.94,1.02,0,17.39,3.91,0.97,2.94,2017-03-18,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,2865.08,Sheltered,43.52,18,3,2017,5,Nutrient Indicator Algae,50.62,Population,1,298.7,1.94,1.02,0,17.39,3.91,0.97,2.94,2017-03-18,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,2173.19,Sheltered,51.57,29,10,2017,7,Hard Coral,54.38,Population,1,299.15,0.94,0.73,0,11.26,2.55,-2.62,2.29,2017-10-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,2173.19,Sheltered,51.57,29,10,2017,7,Nutrient Indicator Algae,0,Population,1,299.15,0.94,0.73,0,11.26,2.55,-2.62,2.29,2017-10-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,665.19,Sheltered,51.46,3,11,2017,6,Hard Coral,53.75,Population,1,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-03,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,665.19,Sheltered,51.46,3,11,2017,6,Nutrient Indicator Algae,0,Population,1,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-03,nd,nd,nd
